DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
N,265425-LCS1,E365.1,7/7/2016 12:53,T,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0265,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,0.025,0.0265,106,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/5/2016 18:05,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265425-MB1,E365.1,7/7/2016 12:52,T,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606688-MB1,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.002,0.002,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/5/2016 18:05,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265426-LCS1,E365.1,7/7/2016 13:27,D,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0267,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,0.025,0.0267,107,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/5/2016 18:05,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265426-MB1,E365.1,7/7/2016 13:26,D,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606688-MB1,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.002,0.002,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/5/2016 18:05,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265574-LCS1,E351.2,7/11/2016 11:53,T,NA,initial,WQ,LB,NA,NA,1,METHOD,7/7/2016 12:31,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",2.3,NA,SC,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,2.5,2.3,92,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/7/2016 12:31,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265574-MB1,E351.2,7/11/2016 11:52,T,NA,initial,WQ,LB,NA,NA,1,METHOD,7/7/2016 12:31,NA,NA,ALSRNY,quant,R1606688-MB1,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",NA,NA,TRG,Yes,N,U,NA,U,NA,0.08,0.08,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/7/2016 12:31,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,502713-MB1,SM5910B,6/24/2016 13:40,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,1,mL,NA,NA,NA,NA,1,mL,UV254,UV 254,-0.002,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,1/cm,1/cm,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,6/24/2016 13:40,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,502897-LCS1,E353.2,6/27/2016 12:44,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.092,NA,SC,Yes,Y,,NA,,NA,0.0014,NA,0.002,mg/l,mg/l,NA,0.0014,NA,NA,NA,NA,,NA,0.1,0.092,92,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,6/27/2016 12:44,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,502897-MB1,E353.2,6/27/2016 12:36,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,NA,NA,TRG,Yes,N,U,NA,U,NA,0.0014,0.0014,0.002,mg/l,mg/l,NA,0.0014,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,6/27/2016 12:36,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,503722-LCS1,SM 2320 B,6/30/2016 21:52,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",21.2,NA,SC,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,20,21.2,106,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,6/30/2016 21:52,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,503722-MB1,SM 2320 B,6/30/2016 21:52,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",NA,NA,TRG,Yes,N,U,NA,U,NA,1,1,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,6/30/2016 21:52,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504316-LCS1,SM5310C,7/6/2016 18:15,D,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,42,mL,NA,NA,NA,NA,42,mL,DOC,"Carbon, Dissolved Organic (DOC)",9.98,NA,SC,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,10,9.98,100,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/6/2016 18:15,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504316-MB1,SM5310C,7/6/2016 17:54,D,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,42,mL,NA,NA,NA,NA,42,mL,DOC,"Carbon, Dissolved Organic (DOC)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/6/2016 17:54,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504317-LCS1,SM5310C,7/7/2016 2:37,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,9.81,NA,SC,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,10,9.81,98,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/7/2016 2:37,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504317-MB1,SM5310C,7/7/2016 2:16,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/7/2016 2:16,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504687-LCS1,D6919-09,7/10/2016 20:43,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.485,NA,SC,Yes,Y,,NA,,NA,6.00E-04,NA,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,,NA,0.5,0.485,97,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/10/2016 20:43,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504687-MB1,D6919-09,7/10/2016 20:24,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,6.00E-04,6.00E-04,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/10/2016 20:24,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504898-LCS2,D6919-09,7/11/2016 5:55,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.482,NA,SC,Yes,Y,,NA,,NA,6.00E-04,NA,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,,NA,0.5,0.482,96,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/11/2016 5:55,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,504898-MB2,D6919-09,7/11/2016 4:01,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,6.00E-04,6.00E-04,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/11/2016 4:01,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,505125-LCS1,E300.0,7/13/2016 3:22,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14808-79-8,SULFATE (AS SO4),1.87,NA,SC,Yes,Y,,NA,,NA,0.02,NA,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,,NA,2,1.87,93,NA,NA,NA,NA,,70,130,NA,NA,NA,NA,R1606688,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606688,7/13/2016 3:22,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,505125-MB1,E300.0,7/13/2016 3:10,T,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1606688-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14808-79-8,SULFATE (AS SO4),NA,NA,TRG,Yes,N,U,NA,U,NA,0.02,0.02,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1606688,ALSRNY,Method Blank,WQ,LB,Lab,,R1606688,7/13/2016 3:10,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP20,E365.1,7/7/2016 13:54,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.009,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP20,WA,N,Field,,R1606761,6/23/2016 9:41,16PKTP20,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP20DUP,E365.1,7/7/2016 13:55,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-001DUP,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0095,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.009,NA,NA,NA,0.009,NA,NA,NA,6,NA,NA,20,NA,NA,NA,R1606761,ALSRNY,16PKTP20,WA,LR,Lab,16PKTP20,R1606761,6/23/2016 9:41,16PKTP20,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP20MS,E365.1,7/7/2016 13:58,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-001MS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0321,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.009,0.025,0.0321,92,NA,NA,NA,NA,NA,75,125,20,NA,NA,NA,R1606761,ALSRNY,16PKTP20,WA,MS,Lab,16PKTP20,R1606761,6/23/2016 9:41,16PKTP20,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP21,E365.1,7/7/2016 13:59,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-002,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0099,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP21,WA,N,Field,,R1606761,6/23/2016 9:45,16PKTP21,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP22,E365.1,7/7/2016 14:01,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-003,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0096,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP22,WA,N,Field,,R1606761,6/23/2016 13:32,16PKTP22,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP23,E365.1,7/7/2016 14:02,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-004,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0245,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP23,WA,N,Field,,R1606761,6/23/2016 13:36,16PKTP23,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP24,E365.1,7/7/2016 14:04,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-006,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0077,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP24,WA,N,Field,,R1606761,6/23/2016 16:56,16PKTP24,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16PKTP25,E365.1,7/7/2016 14:03,TRUE,NA,initial,WA,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-005,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0668,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,16PKTP25,WA,N,Field,,R1606761,6/23/2016 16:54,16PKTP25,NA,NA,NA,NA,NA,6/28/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265428-LCS1,E365.1,7/7/2016 13:52,TRUE,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-LCS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0265,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,0.025,0.0265,106,NA,NA,NA,NA,NA,70,130,NA,NA,NA,NA,R1606761,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1606761,7/5/2016 18:05,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,265428-MB1,E365.1,7/7/2016 13:51,TRUE,NA,initial,WQ,LB,NA,NA,1,METHOD,7/5/2016 18:05,NA,NA,ALSRNY,quant,R1606761-MB,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.002,0.002,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1606761,ALSRNY,Method Blank,WQ,LB,Lab,,R1606761,7/5/2016 18:05,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,E365.1,7/15/2016 11:35,D,NA,initial,WA,LB,NA,NA,1,METHOD,7/12/2016 17:00,NA,NA,ALSRNY,quant,R1607095-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0071,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,SM 2320 B,7/14/2016 20:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1607095-001,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",114,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,D6919-09,7/13/2016 18:01,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1607095-001,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0058,NA,TRG,Yes,Y,,NA,,NA,6.00E-04,NA,0.005,mg/l,mg/l,NA,6.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,SM5310B,7/19/2016 23:05,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1607095-001,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,5.3,NA,TRG,Yes,Y,,NA,,NA,0.2,NA,1,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,SM10200H,7/20/2016 14:41,T,NA,initial,WA,LB,NA,NA,2,,,NA,NA,ALSRNY,quant,R1607095-001,NA,250,mL,NA,NA,NA,NA,NA,,479-61-8,Chlorophyll A,7.56,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.32,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,16ONT101,SM2120B,7/7/2016 11:07,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1607095-001,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,COLOR,15,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1607095,ALSRNY,16ONT101,WA,N,Field,,R1607095,7/6/2016 8:45,16ONT101,NA,NA,NA,NA,NA,7/7/2016,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
