sys_sample_code,chemical_name,cas_rn,fraction,lab_qualifiers,lab_sdg,sample_date,result_value,result_unit,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_status,method_detection_limit,detection_limit_unit,quantitation_limit,sample_type_code,DEC_sample_type,analysis_date
13-GUNK-0.4-07102018-W DUP,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1806544,7/10/2018 13:20,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,DUP,7/12/2018 13:55
13-GUNK-0.4-07102018-W DUP,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1806544,7/10/2018 13:20,0.0731,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,DUP,7/25/2018 19:21
13-GUNK-0.4-07102018-W DUP,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806544,7/10/2018 13:20,0.44,mg/l,NA,NA,NA,,0.08,mg/l,0.2,N,DUP,7/25/2018 12:35
13-GUNK-0.4-07102018-W DUP,Chlorophyll A,479-61-8,TRUE,,R1806544,7/10/2018 13:20,0.624,ug/l,NA,NA,NA,,NA,ug/l,0.058,N,DUP,7/23/2018 12:00
13-GUNK-0.4-07102018-W DUP,CHLORIDE (AS CL),16887-00-6,TRUE,,R1806544,7/10/2018 13:20,47.7,mg/l,NA,NA,NA,,0.2,mg/l,2,N,DUP,7/13/2018 18:43
13-GUNK-0.4-07102018-W DUP,Cadmium,7440-43-9,TRUE,U,R1806544,7/10/2018 13:20,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,HARDNESS (AS CACO3),HARD,TRUE,,R1806544,7/10/2018 13:20,86.6,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,DUP,7/18/2018 13:01
13-GUNK-0.4-07102018-W DUP,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806544,7/10/2018 13:20,0.109,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,DUP,7/27/2018 16:46
13-GUNK-0.4-07102018-W DUP,Silver,7440-22-4,TRUE,U,R1806544,7/10/2018 13:20,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,Copper,7440-50-8,TRUE,,R1806544,7/10/2018 13:20,2.6,ug/l,NA,NA,NA,,0.66,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1806544,7/10/2018 13:20,0.109,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,DUP,7/12/2018 13:55
13-GUNK-0.4-07102018-W DUP,Nitrogen,KN,TRUE,,R1806544,7/10/2018 13:20,0.55,mg/l,NA,NA,NA,,NA,mg/l,0.2,N,DUP,7/25/2018 12:35
13-GUNK-0.4-07102018-W DUP,Aluminum,7429-90-5,TRUE,,R1806544,7/10/2018 13:20,128,ug/l,NA,NA,NA,,2.3,ug/l,10,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,Iron,7439-89-6,TRUE,,R1806544,7/10/2018 13:20,293,ug/l,NA,NA,NA,,13,ug/l,100,N,DUP,7/18/2018 13:01
13-GUNK-0.4-07102018-W DUP,Zinc,7440-66-6,TRUE,U,R1806544,7/10/2018 13:20,NA,ug/l,NA,NA,NA,,2.5,ug/l,5,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,Magnesium,7439-95-4,TRUE,,R1806544,7/10/2018 13:20,5070,ug/l,NA,NA,NA,,29,ug/l,1000,N,DUP,7/18/2018 13:01
13-GUNK-0.4-07102018-W DUP,Calcium,7440-70-2,TRUE,,R1806544,7/10/2018 13:20,26300,ug/l,NA,NA,NA,,110,ug/l,1000,N,DUP,7/18/2018 13:01
13-GUNK-0.4-07102018-W DUP,Arsenic,7440-38-2,TRUE,,R1806544,7/10/2018 13:20,1.6,ug/l,NA,NA,NA,,0.39,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1806544,7/10/2018 13:20,72,mg/l,NA,NA,NA,,1,mg/l,2,N,DUP,7/23/2018 20:32
13-GUNK-0.4-07102018-W DUP,Lead,7439-92-1,TRUE,J,R1806544,7/10/2018 13:20,0.51,ug/l,NA,NA,NA,,0.067,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,Nickel,7440-02-0,TRUE,,R1806544,7/10/2018 13:20,1.1,ug/l,NA,NA,NA,,0.26,ug/l,1,N,DUP,7/17/2018 15:19
13-GUNK-0.4-07102018-W DUP,TURBIDITY,TURB,TRUE,,R1806544,7/10/2018 13:20,5.31,ntu,NA,NA,NA,,0.06,ntu,0.1,N,DUP,7/12/2018 12:25
13-GUNK-0.4-07102018-W DUP,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1806544,7/10/2018 13:20,0.022,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,DUP,7/19/2018 17:57
13-GUNK-0.4-07102018-W DUP,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1806544,7/10/2018 13:20,178,mg/l,NA,NA,NA,,4,mg/l,10,N,DUP,7/17/2018 17:35
13-GUNK-0.4-07102018-W DUPMS,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806544,7/10/2018 13:20,2.97,mg/l,0.44,2.5,2.97,,0.08,mg/l,0.2,MS,,7/25/2018 12:36
13-GUNK-0.4-07102018-W DUPMSD,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806544,7/10/2018 13:20,2.9,mg/l,NA,NA,NA,,0.08,mg/l,0.2,SD,,7/25/2018 12:37
13-GUNK-0.4-07242018-WS,Chlorophyll A,479-61-8,TRUE,,R1806960,7/24/2018 15:15,5.1,ug/l,NA,NA,NA,,NA,ug/l,0.32,N,N,8/14/2018 11:00
13-GUNK-0.4-07242018-WS,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1806960,7/24/2018 15:15,45.6,mg/l,NA,NA,NA,,1,mg/l,2,N,N,7/28/2018 3:36
13-GUNK-0.4-07242018-WS,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1806960,7/24/2018 15:15,0.02,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,7/28/2018 7:58
13-GUNK-0.4-07242018-WS,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806960,7/24/2018 15:15,0.215,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,8/17/2018 15:00
13-GUNK-0.4-07242018-WS,Cadmium,7440-43-9,TRUE,U,R1806960,7/24/2018 15:15,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,Copper,7440-50-8,TRUE,,R1806960,7/24/2018 15:15,3.3,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,CHLORIDE (AS CL),16887-00-6,TRUE,,R1806960,7/24/2018 15:15,27.8,mg/l,NA,NA,NA,,0.2,mg/l,2,N,N,8/8/2018 4:22
13-GUNK-0.4-07242018-WS,Zinc,7440-66-6,TRUE,,R1806960,7/24/2018 15:15,7.8,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,Calcium,7440-70-2,TRUE,E,R1806960,7/24/2018 15:15,18400,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,7/30/2018 23:23
13-GUNK-0.4-07242018-WS,Lead,7439-92-1,TRUE,,R1806960,7/24/2018 15:15,1.6,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1806960,7/24/2018 15:15,0.215,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,7/25/2018 14:36
13-GUNK-0.4-07242018-WS,Arsenic,7440-38-2,TRUE,,R1806960,7/24/2018 15:15,1.1,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,Magnesium,7439-95-4,TRUE,E,R1806960,7/24/2018 15:15,3960,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,7/30/2018 23:23
13-GUNK-0.4-07242018-WS,HARDNESS (AS CACO3),HARD,TRUE,,R1806960,7/24/2018 15:15,62.3,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,7/30/2018 23:23
13-GUNK-0.4-07242018-WS,Aluminum,7429-90-5,TRUE,,R1806960,7/24/2018 15:15,1100,ug/l,NA,NA,NA,,23,ug/l,100,N,N,8/6/2018 17:01
13-GUNK-0.4-07242018-WS,TURBIDITY,TURB,TRUE,,R1806960,7/24/2018 15:15,18.6,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,7/26/2018 10:30
13-GUNK-0.4-07242018-WS,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806960,7/24/2018 15:15,0.73,mg/l,NA,NA,NA,,0.08,mg/l,0.2,N,N,8/14/2018 15:26
13-GUNK-0.4-07242018-WS,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1806960,7/24/2018 15:15,0.0728,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,N,8/15/2018 18:19
13-GUNK-0.4-07242018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1806960,7/24/2018 15:15,127,mg/l,NA,NA,NA,,4,mg/l,10,N,N,7/26/2018 16:25
13-GUNK-0.4-07242018-WS,Silver,7440-22-4,TRUE,U,R1806960,7/24/2018 15:15,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,Iron,7439-89-6,TRUE,,R1806960,7/24/2018 15:15,1680,ug/l,NA,NA,NA,,13,ug/l,100,N,N,7/30/2018 23:23
13-GUNK-0.4-07242018-WS,Nickel,7440-02-0,TRUE,,R1806960,7/24/2018 15:15,2.4,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,8/3/2018 14:07
13-GUNK-0.4-07242018-WS,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1806960,7/24/2018 15:15,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,7/25/2018 14:36
13-GUNK-0.4-07242018-WS,Nitrogen,KN,TRUE,,R1806960,7/24/2018 15:15,0.95,mg/l,NA,NA,NA,,NA,mg/l,0.2,N,N,8/14/2018 15:26
13-GUNK-0.4-08152018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1807869,8/15/2018 14:50,44,mg/l,NA,NA,NA,NA,1,mg/l,2,N,N,8/27/2018 22:14
13-GUNK-0.4-08152018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1807869,8/15/2018 14:50,0.0151,mg/l,NA,NA,NA,NA,8.00E-04,mg/l,0.005,N,N,8/31/2018 0:04
13-GUNK-0.4-08152018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1807869,8/15/2018 14:50,0.0724,mg/l,NA,NA,NA,NA,0.002,mg/l,0.005,N,N,9/4/2018 15:21
13-GUNK-0.4-08152018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1807869,8/15/2018 14:50,111,mg/l,NA,NA,NA,NA,4,mg/l,10,N,N,8/22/2018 15:10
13-GUNK-0.4-08152018-W,TURBIDITY,TURB,TRUE,,R1807869,8/15/2018 14:50,9.84,ntu,NA,NA,NA,NA,0.06,ntu,0.1,N,N,8/17/2018 9:00
13-GUNK-0.4-08152018-W,Copper,7440-50-8,TRUE,,R1807869,8/15/2018 14:50,2.9,ug/l,NA,NA,NA,NA,0.66,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Lead,7439-92-1,TRUE,,R1807869,8/15/2018 14:50,1.8,ug/l,NA,NA,NA,NA,0.067,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1807869,8/15/2018 14:50,23.7,mg/l,NA,NA,NA,NA,0.2,mg/l,2,N,N,8/30/2018 1:32
13-GUNK-0.4-08152018-W,Chlorophyll A,479-61-8,TRUE,,R1807869,8/15/2018 14:50,6.73,ug/l,NA,NA,NA,NA,NA,ug/l,0.64,N,N,9/11/2018 12:25
13-GUNK-0.4-08152018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1807869,8/15/2018 14:50,53,mg/l,NA,NA,NA,NA,NA,mg/l,6.62,N,N,8/29/2018 21:14
13-GUNK-0.4-08152018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1807869,8/15/2018 14:50,0.16,mg/l,NA,NA,NA,NA,NA,mg/l,0.01,N,N,8/16/2018 18:08
13-GUNK-0.4-08152018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1807869,8/15/2018 14:50,0.16,mg/l,NA,NA,NA,NA,7.00E-04,mg/l,0.002,N,N,9/6/2018 17:16
13-GUNK-0.4-08152018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1807869,8/15/2018 14:50,NA,mg/l,NA,NA,NA,NA,0.007,mg/l,0.01,N,N,8/16/2018 18:08
13-GUNK-0.4-08152018-W,Nitrogen,KN,TRUE,,R1807869,8/15/2018 14:50,0.75,mg/l,NA,NA,NA,NA,NA,mg/l,0.1,N,N,9/5/2018 12:55
13-GUNK-0.4-08152018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1807869,8/15/2018 14:50,0.59,mg/l,NA,NA,NA,NA,0.08,mg/l,0.1,N,N,9/5/2018 12:55
13-GUNK-0.4-08152018-W,Aluminum,7429-90-5,TRUE,,R1807869,8/15/2018 14:50,499,ug/l,NA,NA,NA,NA,23,ug/l,100,N,N,9/5/2018 15:29
13-GUNK-0.4-08152018-W,Arsenic,7440-38-2,TRUE,,R1807869,8/15/2018 14:50,1,ug/l,NA,NA,NA,NA,0.39,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Cadmium,7440-43-9,TRUE,J,R1807869,8/15/2018 14:50,0.56,ug/l,NA,NA,NA,NA,0.064,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Silver,7440-22-4,TRUE,U,R1807869,8/15/2018 14:50,NA,ug/l,NA,NA,NA,NA,0.039,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Iron,7439-89-6,TRUE,,R1807869,8/15/2018 14:50,1050,ug/l,NA,NA,NA,NA,13,ug/l,100,N,N,8/29/2018 21:14
13-GUNK-0.4-08152018-W,Calcium,7440-70-2,TRUE,,R1807869,8/15/2018 14:50,16000,ug/l,NA,NA,NA,NA,110,ug/l,1000,N,N,8/29/2018 21:14
13-GUNK-0.4-08152018-W,Nickel,7440-02-0,TRUE,,R1807869,8/15/2018 14:50,1.9,ug/l,NA,NA,NA,NA,0.26,ug/l,1,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Zinc,7440-66-6,TRUE,,R1807869,8/15/2018 14:50,11.3,ug/l,NA,NA,NA,NA,2.5,ug/l,5,N,N,9/5/2018 16:00
13-GUNK-0.4-08152018-W,Magnesium,7439-95-4,TRUE,,R1807869,8/15/2018 14:50,3150,ug/l,NA,NA,NA,NA,29,ug/l,1000,N,N,8/29/2018 21:14
13-GUNK-0.4-09062018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1808568,9/6/2018 13:29,81.7,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,9/14/2018 18:28
13-GUNK-0.4-09062018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1808568,9/6/2018 13:29,0.214,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,9/7/2018 20:07
13-GUNK-0.4-09062018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1808568,9/6/2018 13:29,0.214,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,9/13/2018 17:13
13-GUNK-0.4-09062018-W,Chlorophyll A,479-61-8,TRUE,,R1808568,9/6/2018 13:29,1.56,ug/l,NA,NA,NA,,NA,ug/l,0.075,N,N,9/19/2018 18:10
13-GUNK-0.4-09062018-W,Aluminum,7429-90-5,TRUE,,R1808568,9/6/2018 13:29,1040,ug/l,NA,NA,NA,,23,ug/l,100,N,N,9/18/2018 13:36
13-GUNK-0.4-09062018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1808568,9/6/2018 13:29,174,mg/l,NA,NA,NA,,4,mg/l,10,N,N,9/11/2018 10:30
13-GUNK-0.4-09062018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1808568,9/6/2018 13:29,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,9/7/2018 20:07
13-GUNK-0.4-09062018-W,Nitrogen,KN,TRUE,,R1808568,9/6/2018 13:29,0.93,mg/l,NA,NA,NA,,NA,mg/l,0.1,N,N,9/24/2018 17:56
13-GUNK-0.4-09062018-W,Arsenic,7440-38-2,TRUE,J,R1808568,9/6/2018 13:29,0.99,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,Cadmium,7440-43-9,TRUE,J,R1808568,9/6/2018 13:29,0.068,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,TURBIDITY,TURB,TRUE,,R1808568,9/6/2018 13:29,3.67,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,9/7/2018 12:30
13-GUNK-0.4-09062018-W,Silver,7440-22-4,TRUE,U,R1808568,9/6/2018 13:29,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1808568,9/6/2018 13:29,0.71,mg/l,NA,NA,NA,,0.08,mg/l,0.1,N,N,9/24/2018 17:56
13-GUNK-0.4-09062018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1808568,9/6/2018 13:29,0.0664,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,N,9/21/2018 17:05
13-GUNK-0.4-09062018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1808568,9/6/2018 13:29,70.8,mg/l,NA,NA,NA,,1,mg/l,2,N,N,9/17/2018 17:56
13-GUNK-0.4-09062018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1808568,9/6/2018 13:29,0.0318,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,9/17/2018 22:47
13-GUNK-0.4-09062018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1808568,9/6/2018 13:29,43,mg/l,NA,NA,NA,,0.2,mg/l,2,N,N,9/17/2018 15:44
13-GUNK-0.4-09062018-W,Lead,7439-92-1,TRUE,,R1808568,9/6/2018 13:29,1.6,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,Calcium,7440-70-2,TRUE,,R1808568,9/6/2018 13:29,24800,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,9/14/2018 18:28
13-GUNK-0.4-09062018-W,Nickel,7440-02-0,TRUE,,R1808568,9/6/2018 13:29,1.9,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,Copper,7440-50-8,TRUE,,R1808568,9/6/2018 13:29,9.6,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,Iron,7439-89-6,TRUE,,R1808568,9/6/2018 13:29,1660,ug/l,NA,NA,NA,,13,ug/l,100,N,N,9/14/2018 18:28
13-GUNK-0.4-09062018-W,Zinc,7440-66-6,TRUE,,R1808568,9/6/2018 13:29,8.9,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,9/14/2018 17:22
13-GUNK-0.4-09062018-W,Magnesium,7439-95-4,TRUE,,R1808568,9/6/2018 13:29,4820,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,9/14/2018 18:28
13-GUNK-0.4-10022018-W,Arsenic,7440-38-2,TRUE,J,R1809619,10/2/2018 13:39,0.56,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Cadmium,7440-43-9,TRUE,U,R1809619,10/2/2018 13:39,NA,ug/l,NA,NA,NA,,0.064,ug/l,1,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Copper,7440-50-8,TRUE,,R1809619,10/2/2018 13:39,1.8,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Lead,7439-92-1,TRUE,J,R1809619,10/2/2018 13:39,0.29,ug/l,NA,NA,NA,,0.067,ug/l,1,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Calcium,7440-70-2,TRUE,,R1809619,10/2/2018 13:39,15400,ug/l,NA,NA,NA,,110,ug/l,1000,N,N,10/12/2018 22:41
13-GUNK-0.4-10022018-W,Nickel,7440-02-0,TRUE,J,R1809619,10/2/2018 13:39,0.76,ug/l,NA,NA,NA,,0.26,ug/l,1,N,N,10/18/2018 16:20
13-GUNK-0.4-10022018-W,Silver,7440-22-4,TRUE,U,R1809619,10/2/2018 13:39,NA,ug/l,NA,NA,NA,,0.039,ug/l,1,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Iron,7439-89-6,TRUE,,R1809619,10/2/2018 13:39,395,ug/l,NA,NA,NA,,13,ug/l,100,N,N,10/12/2018 22:41
13-GUNK-0.4-10022018-W,Zinc,7440-66-6,TRUE,U,R1809619,10/2/2018 13:39,NA,ug/l,NA,NA,NA,,2.5,ug/l,5,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,Magnesium,7439-95-4,TRUE,,R1809619,10/2/2018 13:39,3180,ug/l,NA,NA,NA,,29,ug/l,1000,N,N,10/12/2018 22:41
13-GUNK-0.4-10022018-W,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1809619,10/2/2018 13:39,115,mg/l,NA,NA,NA,,4,mg/l,10,N,N,10/7/2018 11:25
13-GUNK-0.4-10022018-W,TURBIDITY,TURB,TRUE,,R1809619,10/2/2018 13:39,2.85,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,10/4/2018 21:40
13-GUNK-0.4-10022018-W,Aluminum,7429-90-5,TRUE,,R1809619,10/2/2018 13:39,130,ug/l,NA,NA,NA,,2.3,ug/l,10,N,N,10/16/2018 14:59
13-GUNK-0.4-10022018-W,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1809619,10/2/2018 13:39,43.6,mg/l,NA,NA,NA,,1,mg/l,2,N,N,10/10/2018 2:49
13-GUNK-0.4-10022018-W,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1809619,10/2/2018 13:39,0.0073,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,10/13/2018 5:52
13-GUNK-0.4-10022018-W,CHLORIDE (AS CL),16887-00-6,TRUE,,R1809619,10/2/2018 13:39,22.4,mg/l,NA,NA,NA,,0.2,mg/l,2,N,N,10/19/2018 1:39
13-GUNK-0.4-10022018-W,Chlorophyll A,479-61-8,TRUE,,R1809619,10/2/2018 13:39,0.675,ug/l,NA,NA,NA,,NA,ug/l,0.08,N,N,10/15/2018 14:00
13-GUNK-0.4-10022018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1809619,10/2/2018 13:39,51.5,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,10/12/2018 22:41
13-GUNK-0.4-10022018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1809619,10/2/2018 13:39,0.277,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,10/4/2018 21:32
13-GUNK-0.4-10022018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1809619,10/2/2018 13:39,0.277,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,10/11/2018 18:07
13-GUNK-0.4-10022018-W,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1809619,10/2/2018 13:39,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,10/4/2018 21:32
13-GUNK-0.4-10022018-W,Nitrogen,KN,TRUE,,R1809619,10/2/2018 13:39,0.73,mg/l,NA,NA,NA,,NA,mg/l,0.1,N,N,10/12/2018 13:03
13-GUNK-0.4-10022018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1809619,10/2/2018 13:39,0.45,mg/l,NA,NA,NA,,0.08,mg/l,0.1,N,N,10/12/2018 13:03
13-GUNK-0.4-10022018-W,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1809619,10/2/2018 13:39,0.0375,mg/l,NA,NA,NA,,0.002,mg/l,0.005,N,N,10/15/2018 18:01
13-GUNK-0.4-10022018-WMS,Magnesium,7439-95-4,TRUE,,R1809619,10/2/2018 13:39,5070,ug/l,3180,2000,5070,,29,ug/l,1000,MS,,10/12/2018 22:44
13-GUNK-0.4-10022018-WMS,Calcium,7440-70-2,TRUE,,R1809619,10/2/2018 13:39,17500,ug/l,15400,2000,17500,,110,ug/l,1000,MS,,10/12/2018 22:44
13-GUNK-0.4-10022018-WMS,Iron,7439-89-6,TRUE,,R1809619,10/2/2018 13:39,1370,ug/l,395,1000,1370,,13,ug/l,100,MS,,10/12/2018 22:44
13-GUNK-0.4-10022018-WMSD,Iron,7439-89-6,TRUE,,R1809619,10/2/2018 13:39,1370,ug/l,NA,NA,NA,,13,ug/l,100,SD,,10/12/2018 22:47
13-GUNK-0.4-10022018-WMSD,Calcium,7440-70-2,TRUE,,R1809619,10/2/2018 13:39,17400,ug/l,NA,NA,NA,,110,ug/l,1000,SD,,10/12/2018 22:47
13-GUNK-0.4-10022018-WMSD,Magnesium,7439-95-4,TRUE,,R1809619,10/2/2018 13:39,5050,ug/l,NA,NA,NA,,29,ug/l,1000,SD,,10/12/2018 22:47
13-GUNK-37.7-07112018-W,"NITROGEN, NITRATE (AS N)",14797-55-8,TRUE,,R1806544,7/11/2018 12:00,0.016,mg/l,NA,NA,NA,,NA,mg/l,0.01,N,N,7/12/2018 14:18
13-GUNK-37.7-07112018-W,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806544,7/11/2018 12:00,7.46,mg/l,NA,NA,NA,,0.08,mg/l,0.2,N,N,7/25/2018 12:39
13-GUNK-37.7-07112018-W,Nitrate+Nitrite as Nitrogen,NO3NO2N,TRUE,,R1806544,7/11/2018 12:00,0.0164,mg/l,NA,NA,NA,,7.00E-04,mg/l,0.002,N,N,7/27/2018 16:50
13-GUNK-37.7-07112018-W,HARDNESS (AS CACO3),HARD,TRUE,,R1806544,7/11/2018 12:00,197,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,7/18/2018 13:11
13-GUNK-37.7-07112018-W,TURBIDITY,TURB,TRUE,,R1806544,7/11/2018 12:00,86.1,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,7/12/2018 12:25
