"","Sample Name","Characteristic Name","Analysis Start Date","cas_rn","Result Sample Fraction","result value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","Lab Name Code","Lab Sample Name","Result Value Type","reporting_detection_limit","Analysis Date Timezone","Results Detection Condition"
"517","18CMG116","PHOSPHORUS, DISSOLVED (AS P)","2018-07-10","7723-14-0","D",0.0117,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"518","18CMG116","PHOSPHORUS, TOTAL (AS P)","2018-07-10","7723-14-0","T",0.0913,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"519","18CMG116","TOTAL ORGANIC CARBON","2018-07-10","TOC","T",5.7,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"520","18CMG201","ALKALINITY, TOTAL (AS CaCO3)","2018-08-07","ALK","T",46.8,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"521","18CMG201","Chlorophyll A","2018-08-07","479-61-8","T",30.4,"ug/l",NA,"ug/l",6.4,"","A","",NA,NA,NA,NA,"EDT",""
"522","18CMG201","Color, True","2018-08-07","COLOR","T",150,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"523","18CMG201","Nitrate+Nitrite as Nitrogen","2018-08-07","NO3NO2N","T",0.0041,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"524","18CMG201","Nitrogen, ammonia (As N)","2018-08-07","7664-41-7","T",0.0063,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"525","18CMG201","NITROGEN, KJELDAHL, TOTAL","2018-08-07","KN","T",0.82,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"526","18CMG201","pH of Color Analysis","2018-08-07","PHCOLOR","T",7.38,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"527","18CMG201","PHOSPHORUS, DISSOLVED (AS P)","2018-08-07","7723-14-0","D",0.0161,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"528","18CMG201","PHOSPHORUS, TOTAL (AS P)","2018-08-07","7723-14-0","T",0.0462,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"529","18CMG201","TOTAL ORGANIC CARBON","2018-08-07","TOC","T",10.6,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"530","18CMG203","ALKALINITY, TOTAL (AS CaCO3)","2018-08-06","ALK","T",73.6,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"531","18CMG203","Chlorophyll A","2018-08-06","479-61-8","T",99.7,"ug/l",NA,"ug/l",6.4,"","A","",NA,NA,NA,NA,"EDT",""
"532","18CMG203","Color, True","2018-08-06","COLOR","T",290,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"533","18CMG203","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",0.0095,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"534","18CMG203","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",0.0052,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"535","18CMG203","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",1.51,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"536","18CMG203","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.44,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"537","18CMG203","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0785,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"538","18CMG203","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.128,"mg/l",0.01,"mg/l",0.025,"","A","",NA,NA,NA,NA,"EDT",""
"539","18CMG203","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",13.2,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"540","18CMG205","ALKALINITY, TOTAL (AS CaCO3)","2018-08-06","ALK","T",21.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"541","18CMG205","Chlorophyll A","2018-08-06","479-61-8","T",10.2,"ug/l",NA,"ug/l",0.64,"","A","",NA,NA,NA,NA,"EDT",""
"542","18CMG205","Color, True","2018-08-06","COLOR","T",29,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"543","18CMG205","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"544","18CMG205","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"545","18CMG205","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",0.51,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"546","18CMG205","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.5,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"547","18CMG205","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0073,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"548","18CMG205","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.0213,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"549","18CMG205","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",5.6,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"550","18CMG206","Color, True","2018-08-06","COLOR","T",47,"color unit",NA,"color unit",1,"","T","",NA,NA,NA,NA,"EDT",""
"551","18CMG206","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"552","18CMG206","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"553","18CMG206","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",0.57,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"554","18CMG206","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.16,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"555","18CMG206","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0102,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"556","18CMG206","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.027,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"557","18CMG206","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",5.7,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"558","18CMG207","ALKALINITY, TOTAL (AS CaCO3)","2018-08-07","ALK","T",132,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"559","18CMG207","Chlorophyll A","2018-08-07","479-61-8","T",22.9,"ug/l",NA,"ug/l",3.2,"","A","",NA,NA,NA,NA,"EDT",""
"560","18CMG207","Color, True","2018-08-07","COLOR","T",42,"color unit",NA,"color unit",1,"","T","",NA,NA,NA,NA,"EDT",""
"561","18CMG207","Nitrate+Nitrite as Nitrogen","2018-08-07","NO3NO2N","T",0.0026,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"562","18CMG207","Nitrogen, ammonia (As N)","2018-08-07","7664-41-7","T",0.0069,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"563","18CMG207","NITROGEN, KJELDAHL, TOTAL","2018-08-07","KN","T",1.51,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"564","18CMG207","pH of Color Analysis","2018-08-07","PHCOLOR","T",8.12,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"565","18CMG207","PHOSPHORUS, DISSOLVED (AS P)","2018-08-07","7723-14-0","D",0.0112,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"566","18CMG207","PHOSPHORUS, TOTAL (AS P)","2018-08-07","7723-14-0","T",0.0473,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"567","18CMG207","TOTAL ORGANIC CARBON","2018-08-07","TOC","T",7.8,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"568","18CMG209","ALKALINITY, TOTAL (AS CaCO3)","2018-08-07","ALK","T",35.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"569","18CMG209","Chlorophyll A","2018-08-07","479-61-8","T",10.3,"ug/l",NA,"ug/l",0.64,"","A","",NA,NA,NA,NA,"EDT",""
"570","18CMG209","Color, True","2018-08-07","COLOR","T",36,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"571","18CMG209","Nitrate+Nitrite as Nitrogen","2018-08-07","NO3NO2N","T",0.0028,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"572","18CMG209","Nitrogen, ammonia (As N)","2018-08-07","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"573","18CMG209","NITROGEN, KJELDAHL, TOTAL","2018-08-07","KN","T",0.81,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"574","18CMG209","pH of Color Analysis","2018-08-07","PHCOLOR","T",7.52,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"575","18CMG209","PHOSPHORUS, DISSOLVED (AS P)","2018-08-07","7723-14-0","D",0.0093,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"576","18CMG209","PHOSPHORUS, TOTAL (AS P)","2018-08-07","7723-14-0","T",0.0313,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"577","18CMG209","TOTAL ORGANIC CARBON","2018-08-07","TOC","T",8,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"578","18CMG211","ALKALINITY, TOTAL (AS CaCO3)","2018-08-07","ALK","T",242,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"579","18CMG211","Chlorophyll A","2018-08-07","479-61-8","T",36.5,"ug/l",NA,"ug/l",1.6,"","A","",NA,NA,NA,NA,"EDT",""
"580","18CMG211","Color, True","2018-08-07","COLOR","T",22,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"581","18CMG211","Nitrate+Nitrite as Nitrogen","2018-08-07","NO3NO2N","T",0.757,"mg/l",7e-04,"mg/l",0.002,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"582","18CMG211","Nitrogen, ammonia (As N)","2018-08-07","7664-41-7","T",0.0707,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"583","18CMG211","NITROGEN, KJELDAHL, TOTAL","2018-08-07","KN","T",0.71,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"584","18CMG211","pH of Color Analysis","2018-08-07","PHCOLOR","T",8.02,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"585","18CMG211","PHOSPHORUS, DISSOLVED (AS P)","2018-08-07","7723-14-0","D",0.006,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"586","18CMG211","PHOSPHORUS, TOTAL (AS P)","2018-08-07","7723-14-0","T",0.0336,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"587","18CMG211","TOTAL ORGANIC CARBON","2018-08-07","TOC","T",5.3,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"588","18CMG213","ALKALINITY, TOTAL (AS CaCO3)","2018-08-06","ALK","T",41.2,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"589","18CMG213","Chlorophyll A","2018-08-06","479-61-8","T",17.9,"ug/l",NA,"ug/l",0.64,"","A","",NA,NA,NA,NA,"EDT",""
"590","18CMG213","Color, True","2018-08-06","COLOR","T",34,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"591","18CMG213","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",0.0027,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"592","18CMG213","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"593","18CMG213","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",0.81,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"594","18CMG213","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.46,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"595","18CMG213","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0105,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"596","18CMG213","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.0419,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"597","18CMG213","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",6.3,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"598","18CMG215","ALKALINITY, TOTAL (AS CaCO3)","2018-08-06","ALK","T",128,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"599","18CMG215","Chlorophyll A","2018-08-06","479-61-8","T",4.5,"ug/l",NA,"ug/l",0.32,"","A","",NA,NA,NA,NA,"EDT",""
"600","18CMG215","Color, True","2018-08-06","COLOR","T",31,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"601","18CMG215","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"602","18CMG215","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",0.01,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"603","18CMG215","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",0.51,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"604","18CMG215","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.84,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"605","18CMG215","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0064,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"606","18CMG215","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.0167,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"607","18CMG215","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",6.2,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"608","18CMG216","Color, True","2018-08-06","COLOR","T",55,"color unit",NA,"color unit",1,"","T","",NA,NA,NA,NA,"EDT",""
"609","18CMG216","Nitrate+Nitrite as Nitrogen","2018-08-06","NO3NO2N","T",0.0033,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error ; Precision error",NA,NA,NA,NA,"EDT",""
"610","18CMG216","Nitrogen, ammonia (As N)","2018-08-06","7664-41-7","T",0.306,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"611","18CMG216","NITROGEN, KJELDAHL, TOTAL","2018-08-06","KN","T",1.07,"mg/l",0.08,"mg/l",0.1,"","A","",NA,NA,NA,NA,"EDT",""
"612","18CMG216","pH of Color Analysis","2018-08-06","PHCOLOR","T",7.76,"pH units",NA,"pH units",10,"","A","",NA,NA,NA,NA,"EDT",""
"613","18CMG216","PHOSPHORUS, DISSOLVED (AS P)","2018-08-06","7723-14-0","D",0.0127,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"614","18CMG216","PHOSPHORUS, TOTAL (AS P)","2018-08-06","7723-14-0","T",0.077,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"615","18CMG216","TOTAL ORGANIC CARBON","2018-08-06","TOC","T",5.8,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"616","18CMG996","ALKALINITY, TOTAL (AS CaCO3)","2018-07-11","ALK","T",172,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"617","18CMG996","Chlorophyll A","2018-07-11","479-61-8","T",39.9,"ug/l",NA,"ug/l",1.1,"","A","",NA,NA,NA,NA,"EDT",""
"618","18CMG996","Color, True","2018-07-11","COLOR","T",100,"color unit",NA,"color unit",5,"","A","",NA,NA,NA,NA,"EDT",""
"619","18CMG996","Nitrate+Nitrite as Nitrogen","2018-07-11","NO3NO2N","T",0.0035,"mg/l",7e-04,"mg/l",0.002,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"620","18CMG996","Nitrogen, ammonia (As N)","2018-07-11","7664-41-7","T",0.0093,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"621","18CMG996","NITROGEN, KJELDAHL, TOTAL","2018-07-11","KN","T",1.04,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"622","18CMG996","pH of Color Analysis","2018-07-11","PHCOLOR","T",8.02,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"623","18CMG996","PHOSPHORUS, DISSOLVED (AS P)","2018-07-11","7723-14-0","D",0.0088,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"624","18CMG996","PHOSPHORUS, TOTAL (AS P)","2018-07-11","7723-14-0","T",0.0441,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"625","18CMG996","TOTAL ORGANIC CARBON","2018-07-11","TOC","T",6.9,"mg/l",0.05,"mg/l",1,"","T","",NA,NA,NA,NA,"EDT",""
"626","18CMG997","Color, True","2018-07-10","COLOR","T",12,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"627","18CMG997","Nitrate+Nitrite as Nitrogen","2018-07-10","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","R","Analyte was analyzed for but not detected ; Precision error",NA,NA,NA,NA,"EDT","Not Detected"
"628","18CMG997","Nitrogen, ammonia (As N)","2018-07-10","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"629","18CMG997","NITROGEN, KJELDAHL, TOTAL","2018-07-10","KN","T",NA,"mg/l",0.08,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"630","18CMG997","pH of Color Analysis","2018-07-10","PHCOLOR","T",5.85,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"631","18CMG997","PHOSPHORUS, DISSOLVED (AS P)","2018-07-10","7723-14-0","D",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"632","18CMG997","PHOSPHORUS, TOTAL (AS P)","2018-07-10","7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"633","18CMG997","TOTAL ORGANIC CARBON","2018-07-10","TOC","T",2,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"634","18LHB001","ALKALINITY, TOTAL (AS CaCO3)","2018-06-27","ALK","T",68.4,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"635","18LHB001","Arsenic","2018-06-27","7440-38-2","T",0.88,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"636","18LHB001","Carbon, Dissolved Organic (DOC)","2018-06-27","DOC","D",4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"637","18LHB001","Chlorophyll A","2018-06-27","479-61-8","T",3.8,"ug/l",NA,"ug/l",0.16,"","A","",NA,NA,NA,NA,"EDT",""
"638","18LHB001","Color, True","2018-06-27","COLOR","T",27,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"639","18LHB001","Iron","2018-06-27","7439-89-6","T",69,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",NA,NA,NA,NA,"EDT","Reporting Limit, less than"
"640","18LHB001","Manganese","2018-06-27","7439-96-5","T",55.6,"ug/l",1.7,"ug/l",10,"","A","",NA,NA,NA,NA,"EDT",""
"641","18LHB001","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"642","18LHB001","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"643","18LHB001","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.48,"mg/l",0.08,"mg/l",0.1,"","T","",NA,NA,NA,NA,"EDT",""
"644","18LHB001","NITROGEN, NITRATE (AS N)","2018-06-27","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"645","18LHB001","NITROGEN, NITRITE","2018-06-27","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Holding Time error",NA,NA,NA,NA,"EDT","Not Detected"
"646","18LHB001","pH of Color Analysis","2018-06-27","PHCOLOR","T",7.48,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"647","18LHB001","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.007,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"648","18LHB001","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",0.0175,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"649","18LHB001","SULFATE (AS SO4)","2018-06-27","14808-79-8","T",5.6,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"650","18LHB001","UV 254","2018-06-27","UV254","T",0.084,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
"651","18LHB005","ALKALINITY, TOTAL (AS CaCO3)","2018-07-16","ALK","T",23.6,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"652","18LHB005","Color, True","2018-07-16","COLOR","T",130,"color unit",NA,"color unit",10,"","A","",NA,NA,NA,NA,"EDT",""
"653","18LHB005","Nitrate+Nitrite as Nitrogen","2018-07-16","NO3NO2N","T",0.003,"mg/l",7e-04,"mg/l",0.002,"","R","Precision error",NA,NA,NA,NA,"EDT",""
"654","18LHB005","Nitrogen, ammonia (As N)","2018-07-16","7664-41-7","T",0.0105,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"655","18LHB005","NITROGEN, KJELDAHL, TOTAL","2018-07-16","KN","T",0.8,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"656","18LHB005","pH of Color Analysis","2018-07-16","PHCOLOR","T",7.12,"pH units",NA,"pH units",1,"","A","",NA,NA,NA,NA,"EDT",""
"657","18LHB005","PHOSPHORUS, DISSOLVED (AS P)","2018-07-16","7723-14-0","D",0.0129,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"658","18LHB005","PHOSPHORUS, TOTAL (AS P)","2018-07-16","7723-14-0","T",0.0913,"mg/l",0.002,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"659","18LHB005","TOTAL ORGANIC CARBON","2018-07-16","TOC","T",8.8,"mg/l",0.05,"mg/l",1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"660","18LHB009","ALKALINITY, TOTAL (AS CaCO3)","2018-06-20","ALK","T",86.8,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"661","18LHB009","Chlorophyll A","2018-06-20","479-61-8","T",4.81,"ug/l",NA,"ug/l",0.16,"","A","",NA,NA,NA,NA,"EDT",""
"662","18LHB009","Color, True","2018-06-20","COLOR","T",30,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"663","18LHB009","Nitrate+Nitrite as Nitrogen","2018-06-20","NO3NO2N","T",NA,"mg/l",7e-04,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"664","18LHB009","Nitrogen, ammonia (As N)","2018-06-20","7664-41-7","T",0.0064,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"665","18LHB009","NITROGEN, KJELDAHL, TOTAL","2018-06-20","KN","T",0.74,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",NA,NA,NA,NA,"EDT",""
"666","18LHB009","pH of Color Analysis","2018-06-20","PHCOLOR","T",7.95,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"667","18LHB009","PHOSPHORUS, DISSOLVED (AS P)","2018-06-20","7723-14-0","D",0.0054,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
